Anon_ID,Moved,Des_Deflated_AGI,Change_AGI,Des_Age,Entering_Relationship,Dissolution_of,Child_Aged_Out,Additional_Child,Des_Number.of.Dependents,Race,Ed_Attain,Disability_Status,Gender,Com_per_0.5km_one_year,Res_per_0.5km_one_year,Mix_per_0.5km_one_year,Violent_Crimes_0.1km_one_year,Non_Violent_Crimes_0.1km_one_year,evictions,Org_Est_Rent_Adj,High_School_Grad,fit,se.fit,residual.scale,UL,LL,PredictedProb,Relationship_Status,Dependent_Status
0915a57b,0,12196,10319,62,No,No,No,No,0,Black,Some College,Disabled,Male,5,34,10,12,42,0,1095.06435,Yes,-2.571981047,0.16442149,1,0.095374058,0.05243868,0.070963587,No Change,No Change
097f3a9b,0,1559,321,17,No,No,No,No,0,Black,Some College,Disabled,Male,145,22,104,9,19,0,1655.178887,Yes,-1.289249278,0.199195795,1,0.289291913,0.157138769,0.215979905,No Change,No Change
0995292d,0,-12506,-29401,27,No,No,No,No,2,Black,Some College,Disabled,Female,8,50,30,49,111,18,1148.482896,Yes,-1.967752105,0.204663933,1,0.172700086,0.085575693,0.122630538,No Change,No Change
09a11989,0,1062,-5652,25,No,No,No,No,0,White,Some College,No,Male,12,212,27,2,19,3,1437.965861,Yes,-1.708204381,0.16814857,1,0.201228606,0.115293431,0.153396761,No Change,No Change
09a768c0,0,23229,4727,37,No,No,No,Yes,2,Asian,High School,No,Female,348,21,148,47,149,0,2994.94047,Yes,-2.180006395,0.308306978,1,0.171401819,0.058179148,0.101560344,No Change,Had Child
09b1efb9,0,10240,913,21,No,No,No,No,0,Black,High School,No,Male,8,110,13,1,6,20,645.6011837,Yes,-1.243246145,0.113716788,1,0.264957041,0.187531388,0.223871453,No Change,No Change
09ca28bc,0,-18240,-26281,52,Yes,No,No,No,0,Black,High School,No,Male,11,88,30,5,23,6,1398.407662,Yes,-1.692402003,0.344175411,1,0.265452607,0.085725086,0.155460214,Got Married,No Change
0a186f00,0,-819,-14302,23,No,No,No,Yes,1,Black,Some College,No,Female,11,99,23,6,22,15,1041.421014,Yes,-1.296770932,0.17031856,1,0.276288634,0.163748826,0.214708965,No Change,Had Child
0a449fae,0,17133,5590,31,No,No,No,No,4,Multi,Some High School,No,Female,3,103,6,1,13,15,741.2884277,No,-1.974341136,0.246474939,1,0.183734145,0.078896756,0.12192337,No Change,No Change
0a709ebe,0,27205,1224,27,No,No,No,No,0,Hispanic,Advanced Degree,No,Male,10,109,29,1,20,7,1336.253515,Yes,-1.813649229,0.1291317,1,0.173567582,0.11237106,0.140197662,No Change,No Change
0a8983d8,0,13272,7729,19,No,No,No,No,0,Black,High School,No,Female,17,84,33,7,25,20,854.8493408,Yes,-1.426545873,0.105288934,1,0.227904852,0.163431812,0.193637448,No Change,No Change
0a8bc82c,0,34739,-33622,67,No,No,No,No,0,Asian,No High School,No,Male,11,59,26,5,34,12,970.4170926,No,-2.372900213,0.229774825,1,0.127578418,0.056080175,0.085262671,No Change,No Change
0af0aaab,0,41222,25970,27,No,No,No,No,0,White,College,No,Male,6,16,28,1,21,9,1189.375035,Yes,-1.79419558,0.162569416,1,0.186099064,0.107855896,0.142559103,No Change,No Change
0b07a97e,0,9632,3307,23,No,No,No,Yes,2,Hispanic,High School,No,Female,11,95,7,17,44,21,1400.941093,Yes,-1.62653415,0.189568888,1,0.221839418,0.119403693,0.164305701,No Change,Had Child
0b3204af,1,6707,3325,17,No,No,No,No,0,Native American,High School,No,Male,14,88,17,7,26,15,1064.910699,Yes,-1.203592231,0.39495554,1,0.394250659,0.121563689,0.230836795,No Change,No Change
0c56c5f6,0,11962,-1518,56,No,No,No,Yes,2,Hispanic,High School,Disabled,Female,1,55,9,28,59,22,893.109585,Yes,-2.546015702,0.219106674,1,0.10749703,0.048546682,0.07269461,No Change,Had Child
0c65bbb9,0,49784,32279,61,No,No,No,No,0,Black,Advanced Degree,No,Female,19,64,22,5,48,4,1080.593079,Yes,-2.648981443,0.151288451,1,0.086870748,0.049949303,0.066051815,No Change,No Change
0c8fde90,0,3145,1255,20,No,No,No,No,0,Black,High School,No,Male,3,105,15,4,29,23,891.5961907,Yes,-1.45231284,0.109779172,1,0.224933215,0.158760447,0.189645873,No Change,No Change
0ce3d420,0,-13332,-19044,35,No,No,No,No,0,White,Advanced Degree,Disabled,Male,11,34,37,2,23,2,1183.21981,Yes,-2.198825017,0.174964219,1,0.135182224,0.072982356,0.099856053,No Change,No Change
0d50a669,0,-10072,-22906,65,No,No,No,No,0,White,No High School,Lost Disabilty Benifits,Female,15,33,14,3,9,16,1698.745593,No,-2.26665556,0.299272512,1,0.157084686,0.054514611,0.093922441,No Change,No Change
0d8e4ae2,0,-16738,-24556,57,No,No,No,No,0,Black,College,Disabled,Male,1,82,5,5,19,26,1312.88213,Yes,-2.221378051,0.153075881,1,0.127711175,0.074371045,0.097847092,No Change,No Change
0da79aef,0,-1292,-15566,61,No,No,No,No,0,Black,Some College,No,Male,5,117,1,3,15,14,918.5256436,Yes,-2.125579627,0.121347441,1,0.131502523,0.086004926,0.106635364,No Change,No Change
0e50db3f,0,42301,1753,44,No,No,No,No,1,Hispanic,Some College,No,Female,11,87,11,4,35,25,1555.313643,Yes,-2.30603476,0.133537158,1,0.114629407,0.071241873,0.090624397,No Change,No Change
0ea57c14,0,6108,4030,55,No,No,No,No,0,White,Some College,No,Female,72,4,46,1,14,21,2418.697257,Yes,-2.222603905,0.175542574,1,0.132556609,0.071314707,0.097738936,No Change,No Change
0ea608c6,0,-3993,-16332,46,No,No,No,No,0,Black,Some High School,No,Female,16,88,12,23,59,40,1253.395406,No,-1.688860535,0.130533223,1,0.192629282,0.125131801,0.15592575,No Change,No Change
0efa8c5a,0,-326,-8702,23,No,No,No,No,0,Black,High School,No,Male,8,116,9,12,47,27,1209.190886,Yes,-1.486087331,0.110100435,1,0.219207531,0.15421934,0.184509724,No Change,No Change
0f3cb80b,1,6717,-4492,47,No,No,No,No,0,Black,Some High School,No,Male,8,46,14,27,47,74,1757.669656,No,-1.301524304,0.199274517,1,0.286806244,0.15549956,0.213908591,No Change,No Change
0f44a99a,0,9328,5544,27,No,No,No,No,0,Hispanic,High School,No,Male,9,173,22,19,56,8,2041.378011,Yes,-1.86149368,0.187169522,1,0.183226098,0.097233736,0.134529046,No Change,No Change
0f4a4c88,0,37179,13977,64,No,No,No,No,0,White,Some College,No,Female,20,143,21,2,43,15,914.1161133,Yes,-2.922609891,0.146706635,1,0.066915516,0.038785359,0.051047126,No Change,No Change
0f512a66,0,24840,5771,42,No,No,No,No,0,Hispanic,Some College,No,Male,16,127,20,2,16,12,675.9776943,Yes,-2.111659793,0.133494363,1,0.135871624,0.085230814,0.107968706,No Change,No Change
0f59d911,0,-3053,-15659,42,No,No,No,No,0,Hispanic,Some High School,No,Male,1,129,13,4,39,15,1637.114048,No,-2.027906421,0.166901306,1,0.154363438,0.086666555,0.116303922,No Change,No Change
0f5ca6b3,0,19330,1915,43,No,No,No,No,0,Hispanic,Advanced Degree,No,Male,50,50,90,8,81,16,1336.522017,Yes,-2.865982955,0.177115011,1,0.074548105,0.038674657,0.053860994,No Change,No Change
0f670a0b,0,-15921,-20438,22,No,No,No,No,0,Asian,Some College,No,Female,4,98,2,2,13,8,956.5207407,Yes,-1.662832103,0.186100884,1,0.214489276,0.116336463,0.159382187,No Change,No Change
103ba194,0,25089,3114,39,No,No,No,No,3,Hispanic,Some College,Disabled,Female,12,73,19,2,62,18,604.2638096,Yes,-3.037992187,0.195862305,1,0.06573663,0.031618544,0.045738725,No Change,No Change
1098006f,0,-1144,-39061,55,No,No,Yes,No,0,Black,No High School,No,Male,36,127,18,14,70,18,1212.057753,No,-1.993946484,0.219267388,1,0.173047318,0.081382425,0.119839969,No Change,Empty Nester
10aa2459,1,-6057,-11075,31,No,No,No,No,3,Black,College,No,Female,8,61,18,32,61,38,874.3137131,Yes,-1.636130127,0.166773584,1,0.21261172,0.123142059,0.162992325,No Change,No Change
10e0160d,0,9887,4805,48,No,No,No,No,0,White,Advanced Degree,Disabled,Female,320,261,127,8,43,19,2258.18025,Yes,-2.320586775,0.239628069,1,0.135765412,0.057852903,0.089432264,No Change,No Change
10e57783,0,25653,1145,63,No,No,No,No,0,White,Some College,No,Female,25,108,33,2,34,3,1626.202617,Yes,-2.742280075,0.132331392,1,0.077064932,0.047351405,0.060524126,No Change,No Change
11206c49,0,-5141,-15110,25,No,No,No,No,1,Black,High School,No,Female,12,84,17,18,30,38,894.2464517,Yes,-1.319325677,0.104520901,1,0.247039466,0.178845842,0.210930505,No Change,No Change
11354f3a,0,23041,510,61,No,No,No,No,0,White,Some High School,No,Female,4,30,5,9,26,50,712.0422683,No,-2.152170311,0.175943159,1,0.140962132,0.07606743,0.10412859,No Change,No Change
119dd07e,1,29150,-17799,51,No,No,No,No,0,Hispanic,High School,No,Male,5,64,4,1,8,10,1120.536786,Yes,-2.067938666,0.139843909,1,0.14260201,0.087701141,0.11225229,No Change,No Change
12563375,0,-15877,-17934,22,No,No,No,No,0,Black,Some High School,Disabled,Male,30,109,10,21,82,27,1110.914734,No,-1.652241517,0.189881745,1,0.217537747,0.116663784,0.160806232,No Change,No Change
125ec185,0,21298,18183,46,No,No,No,No,1,Hispanic,High School,Disabled,Female,5,39,3,1,10,3,1026.136121,Yes,-2.484889006,0.169793756,1,0.104135779,0.056375972,0.07692433,No Change,No Change
12729b93,0,9062,2052,19,No,No,No,No,0,Hispanic,High School,No,Female,13,37,17,9,35,22,1111.445735,Yes,-1.735762862,0.123708486,1,0.183427796,0.121507488,0.14985193,No Change,No Change
12ec1f66,0,6984,5076,19,No,No,No,No,0,Asian,College,No,Female,66,35,57,6,29,23,1458.103594,Yes,-1.69019221,0.173272236,1,0.205775789,0.116108852,0.155750564,No Change,No Change
1390122c,0,29928,-604,68,No,No,No,No,0,White,Some College,No,Female,1,76,3,2,8,8,768.2275844,Yes,-2.532035632,0.135034118,1,0.093861765,0.057502627,0.073642656,No Change,No Change
143cf790,0,-6378,-34415,38,No,No,No,No,2,Hispanic,No High School,No,Female,3,134,14,18,28,15,957.2026813,No,-1.664040244,0.17580419,1,0.210907478,0.118301214,0.159220388,No Change,No Change
1457bac5,0,76272,43614,26,Yes,No,No,No,0,White,College,Disabled,Female,12,211,34,11,40,3,1171.522274,Yes,-1.79631283,0.397913081,1,0.265728607,0.070684468,0.142300495,Got Married,No Change
148429de,0,-2096,-6478,26,No,No,No,No,0,Black,Some High School,No,Female,10,71,13,41,63,38,728.6101556,No,-0.986915832,0.181084857,1,0.347059559,0.207207281,0.271521689,No Change,No Change
14d58d65,0,-11498,-22056,66,No,No,No,No,0,Black,Some College,Lost Disabilty Benifits,Male,10,118,19,9,29,35,1258.475997,Yes,-2.39052224,0.281404707,1,0.137173271,0.050112386,0.083898284,No Change,No Change
14ee2c9d,0,2461,-29,22,No,No,No,No,0,White,Some College,No,Male,4,77,15,4,45,2,1382.780686,Yes,-1.907354671,0.153118411,1,0.166971796,0.099081973,0.129278333,No Change,No Change
14fb8b00,0,32178,8986,29,No,No,No,No,0,White,Advanced Degree,No,Female,11,6,27,10,20,15,1135.886186,Yes,-1.662402054,0.14806478,1,0.202265429,0.124269149,0.159439813,No Change,No Change
1543e5b3,0,9853,3561,20,No,No,No,No,0,Hispanic,Some College,No,Female,2,83,6,1,15,4,988.9144996,Yes,-1.725841345,0.13445596,1,0.188114628,0.120322997,0.151120291,No Change,No Change
157fc5bd,0,25986,-16312,39,No,Yes,No,No,0,Multi,No High School,No,Male,8,77,19,27,52,38,851.8032376,No,-0.790736407,0.364449191,1,0.480905293,0.181672528,0.31201057,Got Divorced,No Change
158e891f,0,19904,-20864,40,No,No,No,No,1,Multi,Advanced Degree,No,Female,1,37,6,1,18,10,1357.495256,Yes,-2.208533282,0.175615239,1,0.134199454,0.072242682,0.098986811,No Change,No Change
15afd360,0,16593,-23777,64,No,No,No,No,1,White,High School,Disabled,Male,6,134,19,7,26,10,1333.243784,Yes,-2.667148382,0.173094397,1,0.08883985,0.047136977,0.064939912,No Change,No Change
15d384a4,1,-13662,-20052,66,No,No,No,No,0,Asian,No High School,No,Male,5,45,27,6,17,3,1108.189052,No,-2.293604034,0.198490183,1,0.129592873,0.064005248,0.091654059,No Change,No Change
164e5664,0,4218,-9137,34,No,Yes,No,No,2,Hispanic,College,No,Female,4,73,6,5,35,5,935.9321999,Yes,-1.350705111,0.334260995,1,0.332798797,0.11858938,0.205755119,Got Divorced,No Change
167bc849,1,39298,-1130,41,No,No,No,No,0,Asian,High School,No,Female,1,1,1,1,1,20,1012.499908,Yes,-1.836343306,0.175153684,1,0.183465566,0.101593368,0.137484338,No Change,No Change
16999bb3,0,44745,5335,54,No,No,No,No,0,Multi,Advanced Degree,No,Male,11,136,16,3,37,4,1050.605398,Yes,-2.67262475,0.189035746,1,0.090947975,0.04551479,0.064608163,No Change,No Change
16ed7503,0,1011,-25,16,No,No,No,No,0,Black,Some College,No,Female,10,128,5,8,65,31,884.4341852,Yes,-1.780237216,0.131096004,1,0.178977701,0.115353645,0.144273845,No Change,No Change
17148ec1,1,5965,2156,34,No,No,No,No,1,Black,Some High School,No,Female,18,77,23,8,39,2,1081.594556,No,-1.684025019,0.136993108,1,0.195365099,0.124277585,0.156563225,No Change,No Change
1758d090,0,-11576,-23448,25,No,No,No,No,1,Hispanic,High School,No,Female,26,1,47,5,15,26,1679.184538,Yes,-1.696943829,0.14786416,1,0.196687113,0.120600317,0.15486484,No Change,No Change
17a2cab5,0,4998,987,64,No,No,No,No,0,White,High School,Disabled,Male,139,23,87,9,42,15,2369.212669,Yes,-2.714669331,0.183629253,1,0.086688482,0.044167956,0.062113282,No Change,No Change
17e28bf6,1,-8603,-20906,21,No,No,No,No,0,Black,College,No,Female,10,70,10,2,10,28,1527.666967,Yes,-1.225989055,0.119502477,1,0.270563756,0.18843461,0.226884206,No Change,No Change
18055679,0,-15552,-18471,21,No,No,No,No,0,Black,Some College,No,Female,11,79,15,4,16,7,870.5123703,Yes,-1.388698581,0.12259973,1,0.240780882,0.163968213,0.199615602,No Change,No Change
18185019,0,15436,-1909,29,No,No,No,No,0,Black,Some College,Disabled,Male,48,69,66,3,24,40,1588.02869,Yes,-1.734478792,0.159921011,1,0.194499597,0.11426232,0.150015589,No Change,No Change
18776aca,1,55412,-2202,66,No,No,No,No,0,White,No High School,Disabled,Male,1,1,1,1,1,0,1346.438544,No,-2.16717874,0.210508945,1,0.147470305,0.070451381,0.102736811,No Change,No Change
18876316,0,10889,-29347,30,No,No,No,No,1,Black,Some College,No,Female,5,39,26,17,32,34,856.4105457,Yes,-1.42432243,0.121321215,1,0.233879606,0.159478688,0.193984857,No Change,No Change
18bf4dfc,0,16173,4511,65,No,No,No,No,0,White,Some College,No,Female,1,1,1,1,1,2,1629.718286,Yes,-2.364819153,0.156618676,1,0.113261929,0.064658522,0.085895053,No Change,No Change
18ca14a6,0,-7174,-22979,62,No,No,No,No,0,Black,Some College,Disabled,Female,17,88,18,13,37,16,891.8743176,Yes,-2.514540253,0.139853027,1,0.096178302,0.05794048,0.07484512,No Change,No Change
18d19522,0,8744,3387,60,No,No,No,No,0,Asian,High School,No,Male,32,29,42,11,27,6,888.8666309,Yes,-2.450420373,0.194852951,1,0.112195509,0.055601809,0.079407814,No Change,No Change
18d46ab4,0,-20552,-23609,59,No,No,No,No,0,White,High School,Became Disabled,Female,1,1,1,1,1,21,2429.932185,Yes,-2.43060487,0.469370394,1,0.180844128,0.033876476,0.080868497,No Change,No Change
18f04add,0,-8608,-10972,54,No,No,No,No,0,Black,High School,No,Female,1,55,5,7,20,33,1433.266002,Yes,-2.001091967,0.110797284,1,0.143818624,0.098123151,0.11908832,No Change,No Change
18f7803b,0,19617,-13001,36,No,No,No,No,0,Hispanic,Some College,No,Male,5,69,15,39,77,13,970.4204223,Yes,-1.845239269,0.162452104,1,0.178457507,0.10306298,0.136432831,No Change,No Change
190cdab6,1,-20369,-27486,56,No,No,No,No,0,Hispanic,Some High School,No,Female,1,59,4,2,4,12,917.3420142,No,-2.061694564,0.166460607,1,0.149894114,0.08409563,0.112876034,No Change,No Change
1917f446,0,4536,-1865,36,No,No,No,No,0,Multi,Some College,Disabled,Male,3,41,8,6,20,18,922.1323975,Yes,-2.247336421,0.193514143,1,0.133767666,0.067444468,0.095579468,No Change,No Change
191e4b90,0,13199,-22899,60,No,No,No,No,0,Black,High School,No,Female,1,1,6,10,25,87,2226.102729,Yes,-1.867591738,0.227434091,1,0.19437628,0.09002231,0.133820625,No Change,No Change
19546b07,0,19715,3888,44,No,No,No,No,1,Black,Some College,No,Female,15,130,7,2,25,15,960.4701563,Yes,-2.042819693,0.094591348,1,0.135003979,0.097244903,0.114779924,No Change,No Change
19b7447f,0,15925,10107,20,No,No,No,No,0,White,High School,No,Male,3,2,3,17,49,61,1202.170379,Yes,-1.501118495,0.190208796,1,0.244473257,0.133087905,0.182258763,No Change,No Change
19d47173,0,-12637,-21370,67,No,No,No,No,0,Multi,High School,No,Female,4,143,2,7,25,14,926.5165887,Yes,-2.833755764,0.199342402,1,0.07994867,0.038255302,0.055527102,No Change,No Change
19dc084b,0,28007,6,65,No,No,No,No,0,White,Advanced Degree,No,Female,17,76,32,10,41,0,1268.643207,Yes,-2.728636153,0.132370256,1,0.078046466,0.047967209,0.0613046,No Change,No Change
1a32db00,0,-197,-25141,84,No,No,No,No,0,Asian,Some High School,No,Female,19,104,13,25,61,17,1047.900133,No,-2.798311795,0.219048659,1,0.085569197,0.038138464,0.057415472,No Change,No Change
1afc901e,0,26703,-1584,35,No,No,No,No,2,Hispanic,Some College,Disabled,Female,3,70,6,3,11,2,1250.390382,Yes,-2.169139339,0.167900771,1,0.137044927,0.075982718,0.10255622,No Change,No Change
1b03d29b,0,3894,-33426,29,No,No,No,No,0,Black,Advanced Degree,No,Female,1,1,1,1,1,22,986.3520511,Yes,-1.272145329,0.132937221,1,0.266669118,0.177598654,0.218890228,No Change,No Change
1b104c35,1,27381,-24751,31,No,No,No,No,0,White,Advanced Degree,No,Female,1,1,1,1,1,14,1486.783422,Yes,-1.482448284,0.1669587,1,0.239538882,0.140675918,0.185057905,No Change,No Change
1ba63f4f,0,7992,-5345,54,No,No,No,No,0,White,College,Disabled,Male,269,230,143,1,53,24,2598.066398,Yes,-2.70189717,0.22428811,1,0.094294403,0.041427437,0.062861501,No Change,No Change
1ba80f3d,0,16288,1373,50,No,No,No,No,0,White,College,No,Male,1,47,3,2,11,4,1089.657642,Yes,-2.095884336,0.127444526,1,0.136332269,0.087410113,0.109497486,No Change,No Change
1bb74195,0,7465,-92,39,No,No,No,No,1,Black,Some College,Disabled,Female,14,20,29,4,32,23,1212.859376,Yes,-2.209112039,0.132278331,1,0.124570096,0.078104978,0.098935204,No Change,No Change
1bc102b8,0,21757,440,58,No,No,No,No,0,Black,High School,No,Female,34,68,81,10,110,17,2113.790054,Yes,-3.234344633,0.190615125,1,0.054128853,0.026391937,0.037893534,No Change,No Change
1bf98cb6,0,-17694,-24301,23,No,No,No,No,0,Black,Some High School,Lost Disabilty Benifits,Male,6,139,12,27,63,19,837.0179773,No,-1.293347989,0.296428217,1,0.329080075,0.133039505,0.215286668,No Change,No Change
1c08d17a,0,27266,3486,33,No,No,No,No,0,Hispanic,College,No,Male,3,51,10,16,22,62,776.4437637,Yes,-1.555949305,0.170437921,1,0.227603844,0.131243599,0.174228664,No Change,No Change
1c14cbee,0,22102,303,84,No,No,No,No,0,White,Some High School,No,Male,8,55,7,1,13,7,805.5662256,No,-2.644593102,0.172310745,1,0.090556077,0.048230919,0.066323044,No Change,No Change
1c76f047,0,17761,10889,50,No,No,No,No,0,Multi,Some High School,No,Female,4,57,11,8,17,62,858.0482097,No,-2.057442449,0.218130121,1,0.163843045,0.076918047,0.113302521,No Change,No Change
1d4e81aa,0,23504,-732,30,No,No,No,No,1,Black,College,No,Male,5,81,11,12,167,18,615.1618323,Yes,-3.245138173,0.283740985,1,0.063625222,0.021854096,0.037501984,No Change,No Change
1d9bbb24,0,15701,8269,19,No,No,No,No,0,Black,Some College,No,Female,15,91,16,2,14,16,811.6493657,Yes,-1.365627015,0.104844766,1,0.238643433,0.172056393,0.203327287,No Change,No Change
1dc8358a,1,49705,15776,25,No,No,No,No,0,White,Some High School,No,Female,1,159,18,17,53,15,1835.544271,No,-1.532820633,0.212021662,1,0.246520218,0.124729773,0.177581368,No Change,No Change
1de91af9,1,24610,8365,58,No,No,No,No,1,Black,High School,No,Male,12,56,9,1,8,29,770.9436694,Yes,-2.057223357,0.117059945,1,0.138502251,0.092233746,0.113324534,No Change,No Change
1e332e2e,0,-409,-20672,23,No,No,No,No,0,Multi,Some College,No,Male,21,106,45,8,30,3,1073.13304,Yes,-1.865502922,0.181734711,1,0.181042128,0.097818416,0.13406293,No Change,No Change
1e5a6055,1,1296,-7263,46,No,No,No,No,0,White,High School,No,Male,73,68,82,2,36,27,1757.118308,Yes,-2.316130251,0.153050544,1,0.117517553,0.068108821,0.089795842,No Change,No Change
